  6%|▋         | 37/592 [00:10<01:27,  6.38it/s, num_gaussians: 588815 | tracking_loss: 13150.0195 | mapping_loss: 0.0493]
  6%|▋         | 38/592 [00:10<01:26,  6.38it/s, num_gaussians: 588815 | tracking_loss: 13150.0195 | mapping_loss: 0.0493]
  6%|▋         | 38/592 [00:10<01:26,  6.38it/s, num_gaussians: 597730 | tracking_loss: 12281.5469 | mapping_loss: 0.0754]
  7%|▋         | 39/592 [00:10<01:26,  6.38it/s, num_gaussians: 597730 | tracking_loss: 12281.5469 | mapping_loss: 0.0754]
  7%|▋         | 39/592 [00:10<01:26,  6.38it/s, num_gaussians: 610611 | tracking_loss: 11165.0039 | mapping_loss: 0.0241]
  7%|▋         | 40/592 [00:10<01:26,  6.34it/s, num_gaussians: 610611 | tracking_loss: 11165.0039 | mapping_loss: 0.0241]
  7%|▋         | 40/592 [00:10<01:26,  6.34it/s, num_gaussians: 622933 | tracking_loss: 11444.3838 | mapping_loss: 0.0555]
  7%|▋         | 41/592 [00:11<01:27,  6.32it/s, num_gaussians: 622933 | tracking_loss: 11444.3838 | mapping_loss: 0.0555]
  7%|▋         | 41/592 [00:11<01:27,  6.32it/s, num_gaussians: 637810 | tracking_loss: 13668.7578 | mapping_loss: 0.0367]
  7%|▋         | 42/592 [00:11<01:27,  6.29it/s, num_gaussians: 637810 | tracking_loss: 13668.7578 | mapping_loss: 0.0367]
  7%|▋         | 42/592 [00:11<01:27,  6.29it/s, num_gaussians: 651450 | tracking_loss: 11133.4668 | mapping_loss: 0.0631]
  7%|▋         | 43/592 [00:11<01:27,  6.24it/s, num_gaussians: 651450 | tracking_loss: 11133.4668 | mapping_loss: 0.0631]
  7%|▋         | 43/592 [00:11<01:27,  6.24it/s, num_gaussians: 660050 | tracking_loss: 17246.4883 | mapping_loss: 0.0453]
